Platz;Rennen;Nummer;Fahrer;Team / Motor;Reifen;Zeit;Rückstand;Runden;Punkte
5;Korea GP;11;R. Kubica;Renault / Renault;B;2:49:08.544;47.734;55;10
4;Malaysia GP;11;R. Kubica;Renault / Renault;B;1:34:07.001;18.589;56;12
3;Monaco GP;11;R. Kubica;Renault / Renault;B;1:50:15.030;1.675;78;15
7;Singapur GP;11;R. Kubica;Renault / Renault;B;1:59:20.138;+ 1:26.559;61;6
8;Spanien GP;11;R. Kubica;Renault / Renault;B;1:36:57.778;+ 1:13.677;66;4
6;Türkei GP;11;R. Kubica;Renault / Renault;B;1:29:20.444;32.824;58;8
6;Abu Dhabi GP;12;V. Petrov;Renault / Renault;B;1:40:20.357;43.520;55;8
9;Belgien GP;12;V. Petrov;Renault / Renault;B;1:29:28.119;23.851;44;2
16;Brasilien GP;12;V. Petrov;Renault / Renault;B;1:33:59.733;+ 1 Runde;70;0
7;China GP;12;V. Petrov;Renault / Renault;B;1:47:29.763;47.600;56;6
10;Deutschand GP;12;V. Petrov;Renault / Renault;B;1:27:55.114;+ 1 Runde;66;1
14;Europa GP;12;V. Petrov;Renault / Renault;B;1:41:17.858;48.287;57;0
13;Großbritannien GP;12;V. Petrov;Renault / Renault;B;1:25:37.574;59.374;52;0
13;Italien GP;12;V. Petrov;Renault / Renault;B;1:17:43.491;+ 1:18.919;53;0
17;Kanada GP;12;V. Petrov;Renault / Renault;B;1:35:05.361;+ 2 Runden;68;0
13;Monaco GP;12;V. Petrov;Renault / Renault;B;1:43:48.498;Ausfall;73;0
11;Singapur GP;12;V. Petrov;Renault / Renault;B;1:57:57.619;+ 1 Runde;60;0
11;Spanien GP;12;V. Petrov;Renault / Renault;B;1:36:20.307;+ 1 Runde;65;0
15;Türkei GP;12;V. Petrov;Renault / Renault;B;1:29:25.954;+ 1 Runde;57;0
5;Ungarn GP;12;V. Petrov;Renault / Renault;B;1:42:18.763;+ 1:13.192;70;10
13;Abu Dhabi GP;14;A. Sutil;Force India / Mercedes;B;1:40:35.162;58.325;55;0
12;Bahrain GP;14;A. Sutil;Force India / Mercedes;B;1:40:43.354;+ 1:22.958;49;0
