Place;DriverId;RaceId;Wheel;Time;Residue;Rounds;Points;StartNumber
16;19;8;B;1:35:04.808;+ 2 Runden;68;0;19
13;19;17;B;2:49:27.567;+ 1 Runde;54;0;19
16;19;15;B;1:55:07.506;Ausfall;58;0;19
14;19;12;B;1:41:07.636;+ 3 Runden;67;0;19
14;20;2;B;1:33:38.174;+ 5 Runden;53;0;20
17;20;4;B;1:47:39.011;+ 4 Runden;52;0;20
18;20;9;B;1:40:37.870;+ 2 Runden;55;0;20
19;20;10;B;1:25:36.238;+ 2 Runden;50;0;20
18;20;8;B;1:34:04.900;+ 4 Runden;66;0;20
15;20;3;B;1:35:21.231;+ 3 Runden;53;0;20
14;20;6;B;1:41:33.584;Ausfall;70;0;20
20;20;7;B;1:24:52.656;Ausfall;52;0;20
20;21;13;B;1:29:57.404;+ 2 Runden;42;0;20
19;21;14;B;1:17:46.321;+ 2 Runden;51;0;20
16;21;16;B;1:31:10.190;+ 3 Runden;50;0;20
15;21;17;B;2:48:47.837;+ 2 Runden;53;0;20
19;21;12;B;1:42.33.460;+ 4 Runden;66;0;20
20;21;10;B;1:25:36.857;+ 2 Runden;50;0;21
20;22;19;B;1:40:11.300;+ 2 Runden;53;0;20
22;22;18;B;1:34:26.440;+ 6 Runden;65;0;21
19;23;19;B;1:39:57.828;+ 2 Runden;53;0;21
21;23;18;B;1:34:25.912;+ 2 Runden;69;0;21
16;23;14;B;1:48:28.179;+ 2 Runden;54;0;21
19;23;11;B;1:28:10.760;+ 4 Runden;63;0;21
20;23;9;B;1:41:07.902;+ 2 Runden;55;0;21
15;23;16;B;1:32:02.330;+ 2 Runden;51;0;21
14;23;17;B;2:48:30.504;+ 2 Runden;53;0;21
16;23;3;B;1:34:17.980;+ 4 Runden;52;0;21
17;23;12;B;1:42:04.467;+ 3 Runden;67;0;21
11;25;19;B;1:40:28.388;51.551;55;0;22
12;24;2;B;1:34:50.615;+ 1:14.084;58;0;22
11;24;13;B;1:29:40.287;36.019;44;0;22
17;25;18;B;1:34:00.983;+ 1 Runde;70;0;22
14;24;11;B;1:28:22.985;+ 1 Runde;66;0;22
12;24;9;B;1:41:16.985;47.414;57;0;22
14;24;14;B;1:16:34.616;+ 1 Runde;52;0;22
8;24;16;B;1:31:36.971;+ 1:09.648;53;4;22
9;24;17;B;2:49:40.917;+ 1:20.107;55;2;22
11;24;7;B;1:29:53.564;+ 1:05.944;58;0;22
7;24;12;B;1:41:06.407;+ 1 Runde;69;6;22
14;26;19;B;1:40:36.395;59.558;55;0;23
8;26;13;B;1:29:20.946;16.678;44;4;23
10;26;18;B;1:33:37.615;+ 1 Runde;70;1;23
11;26;11;B;1:27:56.373;+ 1 Runde;66;0;23
7;26;9;B;1:41:00.536;30.965;57;6;23
6;26;10;B;1:25:10.371;32.171;52;8;23
7;26;16;B;1:31:31.361;+ 1:04.038;53;6;23
8;26;17;B;2:49:38.699;+ 1:17.889;55;4;23
12;26;5;B;1:36:21.168;+ 1 Runde;65;0;23
10;26;7;B;1:29:53.270;+ 1:05.650;58;1;23
